ID,Sender_IP,Sender_Port,Target_IP,Target_Port,Transport_Protocol,Duration,AvgDuration,PBS,AvgPBS,TBS,PBR,AvgPBR,TBR,Missed_Bytes,Packets_Sent,Packets_Received,SRPR,class
10.42.0.211-104.97.95.172-59522-80-6,192.168.2.112,2142,75.126.101.175,443,1,4.28,6.039027778,1174,856.8333333,1894,11862,27450.72222,12462,0,18,15,0.833333333,0
216.58.217.68-10.42.0.211-443-59345-6,147.32.84.170,2108,208.100.48.73,22,1,3,1.5,0,0,192,0,0,0,0,4,0,0,1
10.42.0.151-54.192.38.7-52510-443-6,147.32.84.170,3805,125.14.233.194,22,1,0,1.5,0,0,96,0,0,0,0,2,0,0,1
216.58.219.206-10.42.0.42-443-53294-6,147.32.84.180,3008,205.188.146.193,25,1,2.96,2.021923077,0,0,96,0,0,0,0,2,0,0,1
10.42.0.1-10.42.0.42-53-62597-17,147.32.84.160,11697,184.173.217.40,443,1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
203.205.191.23-10.42.0.211-80-53486-6,192.168.4.120,1181,65.61.156.41,80,1,1.29,1.8345,90,93.9,298,534,507.3,702,0,5,4,0.8,1
10.42.0.211-52.86.75.14-54866-443-6,147.32.84.160,1589,147.32.80.9,53,2,0.02,0.839704755,64,106.0653595,120,92,392.7018256,120,0,2,1,0.5,1
205.185.216.42-10.42.0.211-80-57575-6,66.249.73.56,65427,158.65.110.24,80,1,0.81,0.904045894,245,243.5615942,773,9112,9547.653986,9536,245,10,8,0.8,1
202.77.129.150-10.42.0.151-80-38295-6,192.168.2.113,2266,63.245.209.72,443,1,3.77,31.41504798,0,356.4587332,120,0,28422.38964,0,0,3,0,0,0
208.185.50.65-10.42.0.211-443-51807-6,147.32.84.130,4592,147.32.83.243,135,1,0,0,0,0,96,0,0,0,0,2,0,0,1
10.42.0.1-10.42.0.42-53-12864-17,147.32.84.160,13837,184.173.217.40,443,1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
172.217.12.142-10.42.0.42-80-49005-6,178.77.71.27,1745,147.32.84.170,3389,1,11.24,11.88387179,1353,1344.276068,2801,20153,20046.64188,43442,0,36,78,2.166666667,1
10.42.0.211-10.42.0.1-39344-53-17,85.190.0.3,47939,147.32.84.170,6588,1,0.42,0.380253623,0,0,60,0,0,80,0,1,2,2,1
10.42.0.211-50.18.174.184-40161-443-6,192.168.2.111,1653,192.168.5.122,53,2,4.48,3.239224806,142,183.9263566,254,1918,4273.112403,2142,0,4,8,2,0
180.149.134.142-10.42.0.42-80-39357-6,147.32.84.160,21390,184.173.217.40,443,1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
172.217.10.14-10.42.0.151-443-52618-6,172.16.2.113,2671,203.69.42.35,80,1,2.99,4.03748503,0,76.5988024,100,0,3832.91018,0,0,2,0,0,0
172.217.6.196-10.42.0.151-443-37550-6,147.32.84.180,1692,174.128.246.102,80,1,2.96,5.128403869,158,32.81559855,374,0,0,168,0,5,4,0.8,1
10.42.0.42-106.11.94.1-50641-443-6,192.168.3.117,3028,74.54.152.11,80,1,0.58,7,0,148.6992481,88,0,19616.79699,44,0,2,1,0.5,0
10.42.0.211-125.39.133.40-51264-80-6,192.168.2.106,3402,64.214.232.121,80,1,1.01,2.276900826,0,81.12396694,240,11247,15930.2314,11647,0,6,10,1.666666667,0
10.42.0.211-10.42.0.1-45877-53-17,158.65.110.24,58855,178.73.224.2,80,1,0.36,0.413057065,206,192.7608696,474,1317,1185.293478,1585,1523,5,5,1,1
172.217.12.174-10.42.0.42-443-35508-6,147.32.84.180,3870,174.128.246.102,80,1,3.1,5.128403869,0,32.81559855,96,0,0,0,0,2,0,0,1
180.163.255.159-10.42.0.211-80-56812-6,147.32.84.160,9152,195.113.232.83,80,1,19.11,22.0951087,510,536.5,1436,196,22127.52174,324,0,10,3,0.3,1
10.42.0.211-10.42.0.1-51898-53-17,172.16.0.11,10848,192.146.156.111,25,1,0.16,0.16,1047,1047,1495,188,188,716,0,11,13,1.181818182,0
172.217.10.78-10.42.0.151-443-38816-6,147.32.84.160,4179,74.6.136.244,25,1,0,1.493769231,0,0,96,0,0,0,0,2,0,0,1
239.255.255.250-10.42.0.1-1900-46278-17,192.168.2.106,1930,167.219.5.22,80,1,1.5,3.194444444,100,106.3333333,348,4203,3207.333333,4411,0,6,5,0.833333333,0
172.217.9.234-10.42.0.211-443-49648-6,158.65.110.24,39131,205.188.190.2,25,1,3,3.000916031,0,0,120,0,0,0,0,2,0,0,1
172.217.12.142-10.42.0.151-443-49065-6,147.32.84.170,4690,125.170.251.81,22,1,0,1.5,0,0,96,0,0,0,0,2,0,0,1
10.42.0.151-31.13.71.37-57555-443-6,172.16.0.11,22252,82.67.138.195,4424,2,7.66,13.43875,25,43.75,53,2,60.5,30,0,1,1,1,0
10.42.0.255-10.42.0.1-8610-8612-17,172.158.34.235,22990,172.16.2.11,32245,2,48.78,45.11333333,6,6.333333333,90,125,100,265,0,3,5,1.666666667,0
182.22.24.252-10.42.0.151-443-38561-6,158.65.110.24,58625,199.59.148.10,80,1,0.23,0.330762916,118,149.8961854,386,1166,1257.438918,1434,1284,5,5,1,1
203.205.158.56-10.42.0.42-80-58917-6,158.65.110.24,38064,158.65.12.103,53,2,0,0.012398725,55,38.84084292,0,100,141.052849,0,0,0,0,0,1
10.42.0.211-103.235.46.39-40646-80-6,158.65.110.24,43626,158.65.12.103,53,2,0,0.012398725,29,38.84084292,57,101,141.052849,0,0,1,0,0,1
10.42.0.211-104.192.110.245-38579-443-6,192.168.2.112,2339,82.98.86.181,80,1,0.99,3.870909091,125,673.7272727,733,29229,33262.02273,30193,0,15,24,1.6,1
10.42.0.211-10.42.0.1-12030-53-17,147.32.84.180,2565,61.89.186.155,6667,1,3,1.39,0,0,96,0,0,0,0,2,0,0,1
